time,signal
0.000000000000000000e+00,-1.851318696955166990e-03
1.000000000000000021e-03,1.006045765510146017e+00
2.000000000000000042e-03,3.372034014599108454e-01
3.000000000000000062e-03,-3.976776611121125016e-01
4.000000000000000083e-03,9.406441067580004201e-02
5.000000000000000104e-03,1.449067259997517954e-01
6.000000000000000125e-03,1.224095686856816606e-01
7.000000000000000146e-03,9.707981597364793991e-02
8.000000000000000167e-03,5.024246274838223281e-02
9.000000000000001055e-03,5.305012627955842802e-02
1.000000000000000021e-02,5.849741559807977720e-02
1.099999999999999936e-02,3.317729558280015090e-02
1.200000000000000025e-02,-2.279559715888518356e-02
1.300000000000000114e-02,-2.301029134821973993e-02
1.400000000000000029e-02,-1.134006886484070775e-02
1.499999999999999944e-02,-2.773458495993039175e-02
1.600000000000000033e-02,-2.851485986509037784e-02
1.700000000000000122e-02,-5.370754419077430897e-03
1.800000000000000211e-02,3.309218245761896826e-02
1.899999999999999953e-02,5.355782265850085599e-02
2.000000000000000042e-02,8.468370893989979331e-02
2.100000000000000130e-02,1.224006504176261001e-01
2.199999999999999872e-02,1.464822450134384835e-01
2.299999999999999961e-02,1.519053585182946198e-01
2.400000000000000050e-02,2.065153004844372253e-01
2.500000000000000139e-02,2.039029315596056768e-01
2.600000000000000228e-02,1.748314498130106309e-01
2.699999999999999969e-02,1.675313951337338847e-01
2.800000000000000058e-02,1.807967885899815497e-01
2.900000000000000147e-02,1.439597134858367211e-01
2.999999999999999889e-02,1.444230858783104587e-01
3.099999999999999978e-02,1.387857352479035244e-01
3.200000000000000067e-02,1.189170446990577001e-01
3.300000000000000155e-02,7.827599022660795824e-02
3.400000000000000244e-02,1.479584358988715598e-02
3.500000000000000333e-02,2.723402040347069897e-02
3.600000000000000422e-02,5.651761492141300913e-02
3.699999999999999817e-02,5.061097017213021798e-02
3.799999999999999906e-02,1.046730404883197962e-01
3.899999999999999994e-02,1.129188813526273705e-01
4.000000000000000083e-02,1.383990359816562044e-01
4.100000000000000172e-02,1.628356785593185196e-01
4.200000000000000261e-02,2.019150309253506803e-01
4.300000000000000350e-02,2.622332085188511241e-01
4.399999999999999745e-02,3.323570932884072904e-01
4.499999999999999833e-02,2.720448972805488141e-01
4.599999999999999922e-02,2.500559052478031896e-01
4.700000000000000011e-02,2.812629953803290062e-01
4.800000000000000100e-02,2.577047355041874321e-01
4.900000000000000189e-02,2.462956858321757314e-01
5.000000000000000278e-02,1.598274079031613282e-01
5.100000000000000366e-02,1.613532912291785193e-01
5.200000000000000455e-02,1.283195361326352479e-01
5.299999999999999850e-02,1.369690568211833770e-01
